USB-ISS Module ID: 7 
USB-ISS Software v: 6 

 
 >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>   DATOS DE LOS SENSORES   >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 

    Acelerómetro			    Magnetómetro		              Giroscopio		  Botones 

  X        Y        Z			 X        Y        Z			 X        Y        Z		  B1   B2 
0.000  -0.016  -1.078 			211	-1122 	-868			148	-65       84		 OFF   OFF
 
-0.016  -0.016  -1.094 			210	-1123 	-868			157	-79       37		 OFF   OFF
 
-0.016  -0.031  -1.078 			209	-1122 	-867			137	-72       58		 OFF   OFF
 
0.000  -0.016  -1.078 			210	-1123 	-866			154	-70       56		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1123 	-867			141	-72       44		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1122 	-866			185	-88       41		 OFF   OFF
 
-0.016  -0.031  -1.078 			209	-1123 	-865			141	-72       54		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1122 	-866			171	-80       44		 OFF   OFF
 
-0.016  -0.031  -1.078 			209	-1121 	-866			137	-99       72		 OFF   OFF
 
0.000  -0.016  -1.078 			209	-1121 	-866			152	-83       45		 OFF   OFF
 
0.000  -0.031  -1.062 			209	-1122 	-865			116	-96       86		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1121 	-867			144	-89       62		 OFF   OFF
 
-0.016  -0.031  -1.094 			210	-1122 	-866			152	-89       250		 OFF   OFF
 
0.000  -0.016  -1.078 			208	-1120 	-866			145	-78       61		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1121 	-867			144	-69       100		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1121 	-867			134	-73       56		 OFF   OFF
 
-0.016  -0.016  -1.094 			209	-1121 	-866			144	-83       64		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1122 	-867			160	-75       66		 OFF   OFF
 
0.000  -0.031  -1.078 			210	-1123 	-867			144	-72       56		 OFF   OFF
 
-0.016  -0.031  -1.078 			209	-1122 	-866			155	-89       60		 OFF   OFF
 
-0.016  -0.016  -1.078 			211	-1123 	-866			159	-67       61		 OFF   OFF
 
0.000  -0.016  -1.078 			208	-1122 	-865			161	-88       70		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1123 	-864			152	-62       50		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1121 	-866			131	-77       86		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1122 	-865			144	-60       65		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1121 	-865			156	-68       68		 OFF   OFF
 
0.000  -0.016  -1.078 			210	-1122 	-866			127	-77       54		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1122 	-866			142	-103       65		 OFF   OFF
 
-0.016  -0.016  -1.078 			211	-1122 	-866			135	-62       72		 OFF   OFF
 
-0.016  -0.016  -1.078 			211	-1122 	-866			155	-53       57		 OFF   OFF
 
-0.016  -0.031  -1.078 			211	-1121 	-865			148	-95       61		 OFF   OFF
 
-0.016  -0.016  -1.094 			210	-1122 	-868			155	-69       46		 OFF   OFF
 
-0.016  -0.031  -1.078 			212	-1123 	-865			143	-96       74		 OFF   OFF
 
-0.016  -0.016  -1.094 			210	-1123 	-866			137	-93       38		 OFF   OFF
 
-0.016  -0.031  -1.078 			209	-1121 	-867			156	-74       71		 OFF   OFF
 
-0.016  -0.016  -1.094 			208	-1119 	-866			146	-73       61		 OFF   OFF
 
0.000  -0.016  -1.078 			210	-1122 	-866			143	-74       65		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1123 	-867			134	-88       81		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1120 	-866			175	-80       54		 OFF   OFF
 
-0.016  -0.031  -1.062 			210	-1122 	-866			132	-101       88		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1122 	-865			145	-79       50		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1121 	-866			163	-89       54		 OFF   OFF
 
-0.016  -0.016  -1.078 			211	-1123 	-867			154	-91       49		 OFF   OFF
 
-0.016  -0.016  -1.078 			211	-1122 	-867			118	-81       48		 OFF   OFF
 
-0.016  -0.031  -1.078 			209	-1123 	-867			147	-95       68		 OFF   OFF
 
-0.016  -0.016  -1.078 			211	-1122 	-867			143	-74       38		 OFF   OFF
 
0.000  -0.016  -1.078 			209	-1122 	-866			136	-85       33		 OFF   OFF
 
0.000  -0.031  -1.078 			210	-1122 	-866			135	-67       81		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1123 	-868			146	-89       21		 OFF   OFF
 
-0.016  -0.031  -1.094 			211	-1121 	-866			163	-81       55		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1122 	-867			138	-88       51		 OFF   OFF
 
0.000  -0.031  -1.078 			210	-1122 	-867			142	-94       68		 OFF   OFF
 
0.000  -0.016  -1.062 			209	-1123 	-866			131	-85       79		 OFF   OFF
 
-0.016  -0.031  -1.078 			208	-1121 	-866			138	-73       64		 OFF   OFF
 
-0.016  -0.016  -1.094 			210	-1122 	-868			146	-105       69		 OFF   OFF
 
0.000  -0.031  -1.078 			209	-1122 	-865			157	-77       73		 OFF   OFF
 
0.000  -0.031  -1.062 			210	-1122 	-867			179	-84       49		 OFF   OFF
 
-0.016  -0.031  -1.078 			209	-1122 	-867			179	-82       91		 OFF   OFF
 
-0.016  -0.031  -1.094 			210	-1122 	-866			140	-74       70		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1123 	-867			142	-80       72		 OFF   OFF
 
0.000  -0.016  -1.078 			210	-1123 	-867			157	-68       65		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1122 	-865			162	-87       37		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1121 	-867			150	-98       45		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1122 	-867			135	-72       68		 OFF   OFF
 
0.000  -0.031  -1.078 			209	-1121 	-867			138	-67       39		 OFF   OFF
 
-0.016  -0.031  -1.078 			209	-1122 	-866			127	-75       32		 OFF   OFF
 
0.000  -0.016  -1.078 			211	-1122 	-866			154	-71       61		 OFF   OFF
 
0.000  -0.031  -1.078 			210	-1123 	-867			164	-75       64		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1121 	-867			152	-74       27		 OFF   OFF
 
-0.016  -0.016  -1.094 			210	-1123 	-866			137	-97       35		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1122 	-866			165	-67       57		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1121 	-866			126	-95       48		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1123 	-867			156	-64       73		 OFF   OFF
 
-0.016  -0.031  -1.094 			209	-1122 	-868			121	-71       56		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1122 	-867			179	-69       67		 OFF   OFF
 
0.000  -0.016  -1.062 			209	-1121 	-867			159	-92       49		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1122 	-863			164	-76       65		 OFF   OFF
 
-0.016  -0.031  -1.062 			210	-1122 	-868			143	-66       24		 OFF   OFF
 
-0.016  -0.016  -1.094 			209	-1122 	-866			140	-103       47		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1122 	-866			117	-80       71		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1122 	-866			165	-91       61		 OFF   OFF
 
-0.016  -0.031  -1.078 			209	-1122 	-866			139	-87       55		 OFF   OFF
 
0.000  -0.031  -1.094 			210	-1123 	-864			174	-97       81		 OFF   OFF
 
-0.016  -0.031  -1.062 			210	-1122 	-867			157	-89       55		 OFF   OFF
 
0.000  -0.031  -1.094 			208	-1121 	-866			156	-73       25		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1122 	-866			147	-71       76		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1122 	-865			158	-85       68		 OFF   OFF
 
0.000  -0.031  -1.078 			210	-1122 	-866			137	-67       64		 OFF   OFF
 
-0.016  -0.031  -1.094 			208	-1122 	-865			168	-68       27		 OFF   OFF
 
0.000  -0.031  -1.078 			210	-1122 	-865			143	-80       88		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1122 	-866			168	-76       57		 OFF   OFF
 
0.000  -0.031  -1.078 			211	-1122 	-866			159	-85       75		 OFF   OFF
 
-0.016  -0.031  -1.078 			208	-1121 	-867			123	-91       42		 OFF   OFF
 
0.000  -0.016  -1.078 			211	-1121 	-867			138	-97       25		 OFF   OFF
 
-0.016  -0.031  -1.094 			210	-1122 	-865			164	-82       60		 OFF   OFF
 
-0.016  -0.031  -1.078 			211	-1122 	-866			132	-93       33		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1121 	-866			150	-77       61		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1122 	-867			166	-51       80		 OFF   OFF
 
-0.016  -0.031  -1.078 			211	-1123 	-866			155	-88       54		 OFF   OFF
 
-0.016  -0.016  -1.078 			209	-1121 	-865			149	-105       38		 OFF   OFF
 
0.000  -0.031  -1.078 			210	-1122 	-866			135	-70       56		 OFF   OFF
 
-0.016  -0.031  -1.078 			207	-1121 	-865			124	-80       63		 OFF   OFF
 
